file_name,name,product_id,product_url,image_url,full_price,discount_price
./jimmy_choo/womens-sale.html,"Cece Mid II 60
    
    RATTAN MIX",CECEMIDII60CEW102142,/en/women/shoes/cece-mid-ii-60/rattan-suede-boots-CECEMIDII60CEW102142.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/CECEMIDII60CEW_102142_SIDE_vg388.jpg","$2,050
        
    
    
    Regular Price",
./jimmy_choo/womens-sale.html,"Avenue 50
    
    LATTE",AVENUE50NAP080258,/en/women/shoes/avenue-50/latte-nappa-leather-mules--AVENUE50NAP080258.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/AVENUE50NAP_080258_SIDE_vg333.jpg","$795
        
    
    
    Regular Price",
./jimmy_choo/womens-sale.html,"Aurelie 65
    
    LATTE/WHITE",AURELIE65XKM081087,/en/women/shoes/aurelie-65/latte-patent-leather-pointed-pumps-with-pearl-embellishment--AURELIE65XKM081087.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/AURELIE65XKM_081087_SIDE_vg333.jpg","$995
        
    
    
    Regular Price",
./jimmy_choo/womens-sale.html,"Saeda 100
    
    IVORY/CRYSTAL",SAEDA100BBD000784,/en/women/shoes/saeda-100/ivory-satin-pumps-with-crystal-embellishment--SAEDA100BBD000784.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/SAEDA100BBD_000784_SIDE_vg290.jpg","$1,125
        
    
    
    Regular Price",
./jimmy_choo/womens-sale.html,"Bon Bon
    
    IVORY/CRYSTAL",BONBONVKM000784,/en/women/handbags/bon-bon/ivory-satin-bag-with-crystal-handle-BONBONVKM000784.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/BONBONVKM_000784_FRONT_vg340.jpg","$2,150
        
    
    
    Regular Price",
./jimmy_choo/womens-sale.html,"Cece Mid II 60
    
    RATTAN MIX",CECEMIDII60CEW102142,/en/women/shoes/cece-mid-ii-60/rattan-suede-boots-CECEMIDII60CEW102142.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/CECEMIDII60CEW_102142_SIDE_vg388.jpg","$2,050
        
    
    
    Regular Price",
./jimmy_choo/womens-sale.html,"Avenue 50
    
    LATTE",AVENUE50NAP080258,/en/women/shoes/avenue-50/latte-nappa-leather-mules--AVENUE50NAP080258.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/AVENUE50NAP_080258_SIDE_vg333.jpg","$795
        
    
    
    Regular Price",
./jimmy_choo/womens-sale.html,"Aurelie 65
    
    LATTE/WHITE",AURELIE65XKM081087,/en/women/shoes/aurelie-65/latte-patent-leather-pointed-pumps-with-pearl-embellishment--AURELIE65XKM081087.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/AURELIE65XKM_081087_SIDE_vg333.jpg","$995
        
    
    
    Regular Price",
./jimmy_choo/womens-sale.html,"Saeda 100
    
    IVORY/CRYSTAL",SAEDA100BBD000784,/en/women/shoes/saeda-100/ivory-satin-pumps-with-crystal-embellishment--SAEDA100BBD000784.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/SAEDA100BBD_000784_SIDE_vg290.jpg","$1,125
        
    
    
    Regular Price",
./jimmy_choo/womens-sale.html,"Bon Bon
    
    IVORY/CRYSTAL",BONBONVKM000784,/en/women/handbags/bon-bon/ivory-satin-bag-with-crystal-handle-BONBONVKM000784.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/BONBONVKM_000784_FRONT_vg340.jpg","$2,150
        
    
    
    Regular Price",
